Target,Reference,Comparison, NameSpecifier
TCW1E33-Ast-oAb-48hr,TCW1E33-Ast-8hr,RIN+Time,33(8vs48hr)
TCW2E33-Ast-oAb-48hr,TCW2E33-Ast-8hr,RIN+Time,33(8vs48hr)
TCW3E33-Ast-oAb-48hr,TCW3E33-Ast-8hr,RIN+Time,33(8vs48hr)
TCW4E33-Ast-oAb-48hr,TCW4E33-Ast-8hr,RIN+Time,33(8vs48hr)
