Target,Reference,Comparison, NameSpecifier
TCW1E44-Ast-oAb-24hr,TCW1E44-Ast-8hr,RIN+Time,44(8vs24hr)
TCW2E44-Ast-oAb-24hr,TCW2E44-Ast-8hr,RIN+Time,44(8vs24hr)
TCW3E44-Ast-oAb-24hr,TCW3E44-Ast-8hr,RIN+Time,44(8vs24hr)
TCW4E44-Ast-oAb-24hr,TCW4E44-Ast-8hr,RIN+Time,44(8vs24hr)
